path,name,rounds,agents,model,uncooperative_count,show_full_revenue,show_full_rankings,pieces_per_agent,total_pieces,has_analysis,analysis,system_type
logs/simulation_20250714_164950,simulation_20250714_164950,10,5,o3-mini-2025-01-31,0,False,False,4,20,False,,closed
logs/simulation_20250723_183534,simulation_20250723_183534,10,10,o3-mini-2025-01-31,0,False,False,4,40,False,,closed
logs/simulation_20250812_161040,simulation_20250812_161040,20,10,o4-mini,2,False,False,4,40,False,,closed
logs/simulation_20250714_175026,simulation_20250714_175026,10,5,o3-mini-2025-01-31,0,False,False,4,20,False,,closed
logs/simulation_20250813_012055,simulation_20250813_012055,10,10,o3-mini-2025-01-31,7,False,False,4,40,False,,closed
logs/simulation_20250811_144020,simulation_20250811_144020,20,10,o3-mini-2025-01-31,0,False,True,4,40,False,,open
logs/simulation_20250714_114625,simulation_20250714_114625,10,5,gpt-4.1-mini-2025-04-14,0,False,False,4,20,False,,closed
logs/simulation_20250811_182155,simulation_20250811_182155,20,10,o3-mini-2025-01-31,0,False,False,4,40,False,,closed
logs/simulation_20250729_161941,simulation_20250729_161941,10,10,o3-mini-2025-01-31,0,False,True,4,40,False,,open
logs/simulation_20250811_213356,simulation_20250811_213356,20,10,o3-mini-2025-01-31,0,False,True,4,40,False,,open
